# BCS Courses
CSC101,App._of_ICT
CSC102,Discrete_Structures
CSC103,Programming_Fundamentals
HUM104,Functional_English
HUM112,Islamic_Studies
HUM113,Ideology_&_Constitution_PK
HUM120,Expository_Writing
HUM121,Tech._&_Business_Writing
HUM122,Fund._of_Psychology
HUM130,Fund._of_Sociology
HUM131,Anthropology
MTH103,Exploring_Quant._Skills
MTH104,Calculus_&_Analytic_Geo.
MTH105,Multivariable_Calculus
BIO100,Fund._of_Biology
CHM100,Intro._to_Chemistry
ADA111,Hist_&_Theory_Art/Culture_I
ARC108,Art_Appreciation
HUM116,Ethics
MTH091,Pre-Calculus_I
MTH092,Pre-Calculus_II
CSC210,Professional_Practices
CSC211,Data_Structures
CSC232,Information_Security
CSC241,Object_Oriented_Prog.
CSC262,Artificial_Intelligence
CSC270,Database_Systems
CSC275,Computer_Networks
CSC291,Software_Engineering
EEE240,Fund._of_Digital_Logic
HUM208,Civics_&_Community_Engage.
HUM209,Fund._of_Political_Sci.
HUM220,Intro._to_Psychology
HUM221,International_Relations
HUM222,Fund._of_Int._Relations
MGT210,Fund._of_Marketing
MGT250,Intro._to_Entrepreneurship
MTH114,Tools_for_Quant._Reasoning
MTH231,Linear_Algebra
MTH262,Stats_&_Probability_Theory
PHY124,Applied_Physics
AIC270,Programming_for_AI
CYC205,Intro._to_Cyber_Security
DSC293,Data_Science_Fundamentals
CSC301,Design_&_Analysis_Algorithms
CSC303,Mobile_App._Development
CSC312,Theory_of_Automata
CSC316,Adv._Database_Systems
CSC323,Operating_Systems
CSC325,Comp._Org._&_Assembly_Lang.
CSC331,Digital_Image_Processing
CSC334,Parallel_&_Distrib._Computing
CSC335,Game_Design
CSC336,Web_Technologies
CSC337,Adv._Web_Technologies
CSC350,Topics_in_CS_I
CSC353,Computer_Graphics
CSC362,Video_Production_Tech.
CSC365,HCI_&_Computer_Graphics
CSC367,Mobile_Games_&_Entertainment
CSC381,Blockchain_Technology
CSC387,Software_Test_&_QA
CSC395,Field_Experience/Internship
CSE305,Software_Req._Engineering
CSE354,Design_Patterns
CYC303,Digital_Forensics
CYC307,Information_Assurance
CYC365,Network_Security
DSC306,Data_Mining
DSC327,Data_Visualization_Tech.
DSC354,Data_Warehousing_&_BI
EEE341,Intro._to_Comp._Architecture
HUM310,Islamic_History
MGT350,Human_Resource_Management
AIC341,Intro._to_Computer_Vision
AIC354,Machine_Learning_Fund.
AIC365,Natural_Lang._Processing
AIC380,ANN_&_Deep_Learning
BIO310,Intro._to_Bioinformatics
BIO321,Fund._of_Genetics
ARC351,Calligraphic_Arts
CSC412,Advanced_Programming
CSC417,E-Commerce_&_Digital_Mktg.
CSC418,DevOps_for_Cloud_Computing
CSC421,Robotics
CSC441,Compiler_Construction
CSC454,Pattern_Recognition
CSC471,Distributed_DB_Systems
CSC475,Numerical_Computing
CSC483,Topics_in_CS_II
CSC495,Game_Development
CSC496,Game_Engine_Development
CSC498,Final_Year_Project_I
CSC499,Final_Year_Project_II
CSE494,Software_Project_Management
DSC407,Platform_&_Arch._Data_Sci.
DSC415,Big_Data_Analytics
ECO484,Project_Planning_&_Monitor.
HUM430,French
HUM431,German
HUM432,Arabic
HUM434,Chinese
MGT131,Financial_Accounting
MGT513,New_Product_Development
AIC470,Knowledge_Based_Systems
